timestamp,temperature_c,power_w,power_limit_w,memory_used_mib,memory_total_mib,gpu_util_pct,memory_util_pct,sm_clock_mhz,memory_clock_mhz,pstate
2026/09/21 07:39:54.103, 76, 117.70, 170.00, 7399, 12288, 100, 29, 1807, 7301, P2
2026/09/21 07:39:59.458, 77, 118.78, 170.00, 7399, 12288, 100, 25, 1807, 7301, P2
2026/09/21 07:40:04.811, 77, 120.34, 170.00, 7399, 12288, 100, 24, 1807, 7301, P2
2026/09/21 07:40:10.190, 78, 133.97, 170.00, 7399, 12288, 100, 27, 1807, 7301, P2
2026/09/21 07:40:15.539, 77, 121.37, 170.00, 7399, 12288, 100, 29, 1807, 7301, P2
2026/09/21 07:40:20.881, 74, 116.88, 170.00, 7399, 12288, 82, 24, 1807, 7301, P2
2026/09/21 07:40:26.221, 77, 124.66, 170.00, 7399, 12288, 100, 26, 1807, 7301, P2
2026/09/21 07:40:31.571, 77, 129.02, 170.00, 7399, 12288, 100, 25, 1807, 7301, P2
2026/09/21 07:40:36.915, 78, 134.64, 170.00, 7399, 12288, 100, 26, 1807, 7301, P2
2026/09/21 07:40:42.271, 77, 130.68, 170.00, 7399, 12288, 100, 27, 1807, 7301, P2
2026/09/21 07:40:47.615, 77, 130.72, 170.00, 7399, 12288, 100, 25, 1800, 7301, P2
2026/09/21 07:40:52.960, 79, 133.55, 170.00, 7399, 12288, 100, 25, 1800, 7301, P2
2026/09/21 07:40:58.313, 78, 129.88, 170.00, 7399, 12288, 100, 25, 1800, 7301, P2
2026/09/21 07:41:03.655, 80, 128.62, 170.00, 7399, 12288, 100, 25, 1800, 7301, P2
2026/09/21 07:41:09.003, 77, 131.70, 170.00, 7399, 12288, 91, 22, 1800, 7301, P2
2026/09/21 07:41:14.350, 80, 132.45, 170.00, 7399, 12288, 100, 26, 1800, 7301, P2
2026/09/21 07:41:19.691, 80, 135.44, 170.00, 7399, 12288, 100, 24, 1800, 7301, P2
2026/09/21 07:41:25.047, 80, 131.59, 170.00, 7399, 12288, 100, 25, 1800, 7301, P2
2026/09/21 07:41:30.395, 80, 136.18, 170.00, 7399, 12288, 99, 23, 1800, 7301, P2
2026/09/21 07:41:35.738, 81, 135.01, 170.00, 7399, 12288, 100, 26, 1800, 7301, P2
2026/09/21 07:41:41.094, 81, 135.49, 170.00, 7399, 12288, 100, 26, 1800, 7301, P2
2026/09/21 07:41:46.442, 80, 132.79, 170.00, 7399, 12288, 100, 25, 1800, 7301, P2
2026/09/21 07:41:51.791, 80, 130.62, 170.00, 7399, 12288, 100, 24, 1800, 7301, P2
2026/09/21 07:41:57.146, 80, 135.01, 170.00, 7399, 12288, 100, 27, 1800, 7301, P2
2026/09/21 07:42:02.490, 80, 136.84, 170.00, 7399, 12288, 100, 25, 1800, 7301, P2
2026/09/21 07:42:07.832, 80, 133.60, 170.00, 7399, 12288, 100, 24, 1800, 7301, P2
2026/09/21 07:42:13.187, 80, 130.22, 170.00, 7399, 12288, 100, 23, 1800, 7301, P2
2026/09/21 07:42:18.532, 80, 134.52, 170.00, 7399, 12288, 100, 27, 1800, 7301, P2
2026/09/21 07:42:23.873, 81, 137.05, 170.00, 7399, 12288, 100, 27, 1800, 7301, P2
